Sla_code	Sla_name	Total_pers	TSD_Code
20260	Ararat (RC)	11098	206
25991	Pyrenees (S) - North	3402	206
25994	Pyrenees (S) - South	3178	206
22491	Golden Plains (S) - North-West	6392	206
23191	Horsham (RC) - Central	12591	207
23194	Horsham (RC) Bal	4731	207
25811	N. Grampians (S) - St Arnaud	3790	207
25814	N. Grampians (S) - Stawell	9211	207
26890	West Wimmera (S)	4933	207
22980	Hindmarsh (S)	6572	207
27631	Yarriambiack (S) - North	2452	207
27632	Yarriambiack (S) - South	5852	207
24781	Mildura (RC) - Pt A	40644	208
21271	Buloke (S) - North	3846	208
21272	Buloke (S) - South	3753	208
24782	Mildura (RC) - Pt B	4774	208
22250	Gannawarra (S)	11922	208
26611	Swan Hill (RC) - Central	9385	208
26614	Swan Hill (RC) - Robinvale	3855	208
26616	Swan Hill (RC) Bal	7152	208
22621	Gr. Bendigo (C) - Central	18919	209
22622	Gr. Bendigo (C) - Eaglehawk	8054	209
22623	Gr. Bendigo (C) - Inner East	20375	209
22624	Gr. Bendigo (C) - Inner North	7471	209
22625	Gr. Bendigo (C) - Inner West	12490	209
22626	Gr. Bendigo (C) - S'saye	4120	209
21671	C. Goldfields (S) - M'borough	7381	209
21674	C. Goldfields (S) Bal	4941	209
22628	Gr. Bendigo (C) - Pt B	9909	209
23943	Loddon (S) - North	3638	209
23945	Loddon (S) - South	4948	209
25431	Mount Alexander (S) - C'maine	6690	209
25434	Mount Alexander (S) Bal	9240	209
24131	Macedon Ranges (S) - Kyneton	7384	209
24134	Macedon Ranges (S) - Romsey	8779	209
24135	Macedon Ranges (S) Bal	16204	209
22912	Hepburn (S) - West	6352	209
22911	Hepburn (S) - East	7075	209
22831	Gr. Shepparton (C) - Pt A	39694	210
21371	Campaspe (S) - Echuca	10014	210
21374	Campaspe (S) - Kyabram	11750	210
21375	Campaspe (S) - Rochester	7865	210
21376	Campaspe (S) - South	3691	210
22834	Gr. Shepparton (C) - Pt B East	3832	210
22835	Gr. Shepparton (C) - Pt B West	8376	210
24901	Moira (S) - East	7374	210
24904	Moira (S) - West	17339	210
21951	Delatite (S) - Benalla	8582	210
21954	Delatite (S) - North	4749	210
21955	Delatite (S) - South	9162	210
26430	Strathbogie (S)	8794	210
24851	Mitchell (S) - North	10991	210														
24854	Mitchell (S) - South	13942	210														
25621	Murrindindi (S) - East	6062	210														
25622	Murrindindi (S) - West	6389	210														
23351	Indigo (S) - Pt A	10289	211														
26671	Towong (S) - Pt A	2292	211														
27170	Wodonga (RC)	29188	211														
23352	Indigo (S) - Pt B	3390	211														
26701	Wangaratta (RC) - Central	15527	211														
26704	Wangaratta (RC) - North	3863	211														
26705	Wangaratta (RC) - South	5645	211														
20111	Alpine (S) - East	13627	211														
20112	Alpine (S) - West	4530	211														
26672	Towong (S) - Pt B	3830	211														
22111	E. Gippsland (S) - Bairnsdale	23378	212														
22113	E. Gippsland (S) - Orbost	8281	212														
22115	E. Gippsland (S) - South-West	3447	212
22117	E. Gippsland (S) Bal	2787	212
26812	Wellington (S) - Avon	3979	212
26813	Wellington (S) - Maffra	10073	212
26815	Wellington (S) - Sale	13366	212
20831	Baw Baw (S) - Pt A	4129	213
23811	La Trobe (S) - Moe	17878	213
23814	La Trobe (S) - Morwell	22801	213
23815	La Trobe (S) - Traralgon	24199	213
23818	La Trobe (S) Bal	2686	213
28509	Yallourn Works Area	0	213
20834	Baw Baw (S) - Pt B East	4088	213
20835	Baw Baw (S) - Pt B West	24768	213
27458	Yarra Ranges (S) - Pt B	762	213
20741	Bass Coast (S) - Phillip Is.	5707	213
20744	Bass Coast (S) Bal	14440	213
26171	South Gippsland (S) - Central	11391	213
26174	South Gippsland (S) - East	5639	213
26175	South Gippsland (S) - West	7053	213
28529	French Island	58	213
28649	Bass Strait Islands	0	213
26814	Wellington (S) - Rosedale	6677	213
26811	Wellington (S) - Alberton	5722	213
27451	Yarra Ranges (S) - Central	14512	213
31067	Bowen Hills	999	301
31315	Kelvin Grove	3945	301
31274	Herston	2899	301
31427	Newstead	1330	301
31481	Red Hill (QLD)	4768	301
31528	Spring Hill	4970	301
31233	Fortitude Valley - Remainder	1528	301
31454	Paddington	6878	301
31228	Fortitude Valley - Inner	165	301
31421	New Farm	9118	301
31143	City - Inner (Brisbane)	2337	301
31378	Milton	1584	301
31304	Kangaroo Point	5124	301
31146	City - Remainder (Brisbane)	2641	301
31525	South Brisbane	3599	301
31607	West End (Brisbane)	5780	301
31195	East Brisbane	4607	301
31277	Highgate Hill	5190	301
31631	Woolloongabba	4646	301
31187	Dutton Park	1456	301
31004	Albion	2262	302
31007	Alderley	4550	302
31015	Annerley	8450	302
31026	Ascot	4626	302
31031	Ashgrove	10933	302
31042	Balmoral	3252	302
31048	Bardon	8048	302
31086	Bulimba	3659	302
31097	Camp Hill	9059	302
