Sla_id	Sla_name	TSD_Code
31157	Coorparoo	302
31162	Corinda	302
31214	Fairfield	302
31222	Fig Tree Pocket	302
31241	Graceville	302
31244	Grange	302
31247	Greenslopes	302
31255	Hamilton	302
31258	Hawthorne	302
31271	Hendra	302
31282	Holland Park	302
31285	Holland Park West	302
31293	Indooroopilly	302
31296	Jamboree Heights	302
31301	Jindalee	302
31312	Kedron	302
31318	Kenmore	302
31345	Lutwyche	302
31356	MacGregor	302
31375	Middle Park	302
31391	Moorooka	302
31397	Morningside	302
31402	Mount Gravatt	302
31405	Mount Gravatt East	302
31408	Mount Ommaney	302
31413	Murarrie	302
31416	Nathan	302
31424	Newmarket	302
31432	Norman Park	302
31446	Nundah	302
31451	Oxley	302
31487	Riverhills	302
31492	Robertson	302
31498	Rocklea	302
31506	St Lucia	302
31511	Salisbury	302
31517	Seventeen Mile Rocks	302
31522	Sherwood	302
31533	Stafford	302
31536	Stafford Heights	302
31547	Sunnybank	302
31558	Taringa	302
31563	Tarragindi	302
31574	Toowong	302
31588	Upper Mount Gravatt	302
31604	Wavell Heights	302
31612	Westlake	302
31618	Wilston	302
31623	Windsor	302
31634	Wooloowin	302
31645	Yeerongpilly	302
31648	Yeronga	302
31001	Acacia Ridge	303
31012	Algester	303
31018	Anstead (incl. Moggill SF)	303
31023	Archerfield	303
31034	Aspley	303
31037	Bald Hills	303
31045	Banyo	303
31053	Bellbowrie	303
31057	Belmont-Mackenzie	303
31061	Berrinba	303
31064	Boondall	303
31072	Bracken Ridge	303
31075	Bridgeman Downs	303
31078	Brighton	303
31083	Brookfield (incl. Mt C	303
31091	Burbank	303
31094	Calamvale	303
31105	Capalaba West	303
31108	Carindale	303
31121	Carseldine	303
31124	Chandler	303
31138	Chermside West	303
31167	Darra-Sumner	303
31173	Deagon	303
31176	Doolandella	303
31184	Durack	303
31198	Eight Mile Plains	303
31203	Ellen Grove	303
31206	Enoggera (incl. Mltry Camp)	303
31211	Everton Park	303
31217	Ferny Grove	303
31236	Geebung	303
31252	Gumdale	303
31265	Hemmant-Lytton	303
31288	Inala	303
31307	Karawatha	303
31323	Kenmore Hills	303
31326	Keperra	303
31331	Kuraby	303
31337	Lota	303
31353	McDowall	303
31364	Manly	303
31367	Manly West	303
31372	Mansfield	303
31383	Mitchelton	303
31386	Moggill	303
31435	Northgate	303
